date,open,high,low,close,volume
2014-03-31,76.09,76.09,74.92,75.09,4702500.0
2014-04-01,75.5,76.21,75.19,76.08,3790000.0
2014-04-02,76.1,76.13,75.5,75.6,3259400.0
2014-04-03,75.75,75.83,74.65,74.92,3785800.0
2014-04-04,75.25,75.69,73.21,73.28,6719700.0
2014-04-07,73.16,73.51,72.3609,72.71,5719600.0
2014-04-08,72.7,73.0,71.96,72.77,5130000.0
2014-04-09,72.99,74.27,72.59,74.22,4012500.0
2014-04-10,74.89,74.89,71.66,71.95,8561500.0
2014-04-11,71.54,72.59,70.93,72.15,6117300.0
2014-04-14,72.51,73.5603,71.66,72.24,3930200.0
2014-04-15,72.67,73.7,72.24,73.624,5004400.0
2014-04-16,75.08,75.08,72.765,73.18,5196700.0
2014-04-17,73.28,73.5,72.1,72.29,5337000.0
2014-04-21,73.14,73.2799,71.13,71.33,6872100.0
2014-04-22,71.15,71.87,70.89,70.96,5393400.0
2014-04-23,70.98,71.36,70.73,70.93,4765200.0
2014-04-24,71.11,71.94,70.92,71.43,5110600.0
2014-04-25,71.65,71.66,70.8199,71.04,4716300.0
2014-04-28,71.28,71.38,70.13,70.59,4726200.0
2014-04-29,70.77,71.61,70.3,71.01,6212000.0
2014-04-30,66.07,67.62,64.64,66.58,20945100.0
2014-05-01,66.62,67.01,65.83,66.17,7111700.0
2014-05-02,66.76,67.69,66.3,67.23,6515900.0
2014-05-05,66.82,67.301,66.3,66.83,5983500.0
2014-05-06,66.83,67.42,66.55,67.01,8258800.0
2014-05-07,66.78,67.11,66.17,67.05,6007200.0
2014-05-08,67.01,67.5,66.27,67.04,5195000.0
2014-05-09,66.72,67.85,66.71,67.8,3801400.0
2014-05-12,68.12,68.685,68.01,68.52,5212300.0
2014-05-13,68.28,68.95,68.28,68.43,5540900.0
2014-05-14,68.4,68.65,67.96,68.41,5016900.0
2014-05-15,68.06,68.47,67.58,68.37,6582500.0
2014-05-16,68.38,68.91,68.15,68.72,6485400.0
2014-05-19,68.38,69.05,68.38,68.87,4587700.0
2014-05-20,68.66,69.34,68.555,69.14,5295200.0
2014-05-21,69.35,70.04,69.158,69.84,5323500.0
2014-05-22,69.92,70.49,69.73,70.25,4686500.0
2014-05-23,69.81,70.48,69.71,70.14,4608800.0
